dateTime,cpuTime,availRamMb,tcpv4TotalConn,tcpV6TotalConn,httpdSize,httpd1Size,httpd1Private,httpd1NPBytes,httpd1Handle,httpd2Size,total1911,established1911,time_wait1911,fin_wait1911,total1912,established1912,time_wait1912,fin_wait1912,total7077,established7077,time_wait7077,fin_wait7077,total7078,established7078,time_wait7078,fin_wait7078 
11/30/2023 12:23:38.119,26.090769799569447,8901,10549,0,4272128,24015663104,24734674944,8081472,66596,0,2,0,0,0,4765,2987,1776,0,1787,10,1775,0,61,54,5,0 
11/30/2023 12:24:36.615,24.930847155223802,8923,10588,0,4272128,24017199104,24735776768,8001920,66633,0,2,0,0,0,4776,2968,1806,0,1727,14,1711,0,42,38,2,0 
11/30/2023 12:25:37.360,19.802720609843995,8920,10550,0,4272128,24017465344,24736051200,7971456,66604,0,5,0,3,0,4664,2982,1680,0,1499,10,1487,0,50,44,4,0 
11/30/2023 12:26:36.999,22.84317549223649,8930,10567,0,4272128,24017432576,24735985664,8014640,66633,0,2,0,0,0,4601,2970,1629,0,1454,12,1440,0,53,50,1,0 
11/30/2023 12:27:37.694,21.407739486794409,8947,10571,0,4272128,24017907712,24736374784,8052640,66620,0,2,0,0,0,4780,2994,1784,0,1778,12,1764,0,59,56,1,0 
11/30/2023 12:28:37.928,24.472351457041963,8911,10544,0,4272128,24019259392,24738025472,7951696,66601,0,3,0,1,0,4730,2992,1736,0,1666,14,1650,0,46,42,2,0 
11/30/2023 12:29:37.419,21.188377939347191,8934,10574,0,4272128,24019361792,24738025472,8101152,66619,0,2,0,0,0,4683,2974,1706,1,1578,10,1566,0,33,30,1,0 
11/30/2023 12:30:37.894,36.307737684639505,8913,10592,0,4272128,24022007808,24740593664,8115456,66631,0,2,0,0,0,4691,2975,1714,0,1559,14,1543,0,79,74,3,0 
11/30/2023 12:31:37.075,24.253674359793486,8941,10572,0,4272128,24029057024,24747425792,7981624,66629,0,5,0,3,0,4642,2962,1678,0,1586,12,1572,0,38,34,2,0 
11/30/2023 12:32:37.405,28.751359469584624,8930,10562,0,4272128,24037937152,24756330496,8104840,66612,0,3,0,1,0,4692,2971,1719,0,1643,8,1633,0,44,36,6,0 
11/30/2023 12:33:36.634,23.189050388118105,8872,10582,0,4272128,24053121024,24772280320,8336880,66622,0,2,0,0,0,4771,2966,1803,0,1626,12,1612,0,58,52,4,0 
11/30/2023 12:34:37.422,18.610761537744136,8957,10568,0,4272128,24072392704,24791810048,7963512,66610,0,2,0,0,0,4686,2960,1724,0,1641,10,1629,0,48,44,2,0 
11/30/2023 12:35:37.996,34.58643825151205,8858,10577,0,4272128,24074588160,24794284032,7962424,66606,0,2,0,0,0,4694,2958,1734,0,1603,10,1591,0,40,36,2,0 
11/30/2023 12:36:37.507,21.393209940466086,8872,10574,0,4272128,24082817024,24802537472,8181104,66615,0,2,0,0,0,4610,2966,1642,0,1503,10,1491,0,54,52,0,0 
